Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	ОПТИЧЕСКИЕ ШНУРЫ	Unnamed: 8	Unnamed: 9
									
									
									
									
									
									
									
Артикул		Оптические пигтейлы			Цена сайт				
									
		Патчкорд FTTHSC-SC/APC-220м	шт		18897.600000000002	20320	под заказ		
		Патчкорд FTTHSC-SC/APC-250м	шт		20246.100000000002	21770	под заказ		
		Патчкорд FTTHSC-SC/APC-300м	шт		22506	24200	под заказ		
									
									
									
									
									
									
									
									
