URL	Артикул	Описание	Цена	Дилер	Unnamed: 5
https://ipmatika.kz/products/nastraivaemye-easy-smart/wi-tek-wi-pces210g/	WI-PCES210G	WI-PCES210G, настраиваемый PoE 100Вт, порты 8FE PoE + 2GE, Easy Smart	35820.0	28654.174999999996	
https://ipmatika.kz/products/nastraivaemye-easy-smart/wi-tek-wi-pces218gf/	WI-PCES218GF	WI-PCES218GF, настраиваемый PoE 250Вт, порты 16FE PoE + 2SFP, Easy Smart	92860.0	74287.125	
https://ipmatika.kz/products/nastraivaemye-easy-smart/wi-tek-wi-pces226gf/	WI-PCES226GF	WI-PCES226GF, настраиваемый PoE 280Вт, порты 24FE PoE + 2Combo SFP, Easy Smart	118070.0	94455.9	
https://ipmatika.kz/products/nastraivaemye-easy-smart/wi-tek-wi-pces306g/	WI-PCES306G	WI-PCES306G настраиваемый PoE 60Вт, порты 4 PoE GE + 2GE, Easy Smart	34490.0	27593.5	EOL
https://ipmatika.kz/products/nastraivaemye-easy-smart/wi-tek-wi-pces306g-v2/	WI-PCES306G v2	WI-PCES306G, настраиваемый PoE 60Вт, порты 4 PoE GE + 2GE, Easy Smart	30510.0	24411.474999999995	
https://ipmatika.kz/products/nastraivaemye-easy-smart/wi-tek-wi-pces306gf/	WI-PCES306GF	WI-PCES306GF настраиваемый PoE 60Вт, порты 4 PoE GE + 1GE + 1SFP, Easy Smart	35820.0	28654.174999999996	EOL
https://ipmatika.kz/products/nastraivaemye-easy-smart/wi-tek-wi-pces308gf/	WI-PCES308GF	WI-PCES308GF настраиваемый PoE 60Вт, порты 8 PoE GE + 1 GE + 1 SFP, Easy Smart	55720.0	44572.274999999994	EOL
https://ipmatika.kz/products/nastraivaemye-easy-smart/wi-tek-wi-pces310g/	WI-PCES310G	WI-PCES310G настраиваемый PoE 110Вт, порты 8 PoE GE + 2 GE	53060.0	42450.924999999996	
https://ipmatika.kz/products/nastraivaemye-easy-smart/wi-tek-wi-pces310gf-v2/	WI-PCES310GF v2	WI-PCES310GF, настраиваемый PoE 120Вт, порты 8 PoE GE + 2 SFP, Easy Smart	57040.0	45632.94999999999	
https://ipmatika.kz/products/nastraivaemye-easy-smart/wi-tek-wi-pces318gf-v2/	WI-PCES318GF v2	WI-PCES318GF, настраиваемый PoE 250Вт, порты 16 PoE GE + 2 SFP, Easy Smart	130000.0	104001.975	
https://ipmatika.kz/products/nastraivaemye-easy-smart/wi-tek-wi-pces326gf/	WI-PCES326GF	WI-PCES326GF настраиваемый PoE 370Вт, порты 24 PoE GE + 2 SFP, Easy Smart	198990.0	159188.97499999998	EOL
https://ipmatika.kz/products/nastraivaemye-easy-smart/wi-tek-wi-pces326gf-v2/	WI-PCES326GF v2	WI-PCES326GF, настраиваемый PoE 370Вт, порты 24 PoE GE + 2 SFP, Easy Smart	172460.0	137967.49999999997	
https://ipmatika.kz/products/ups/	Коммутаторы серии UPS (питание12В)		0.0	0.0	
https://ipmatika.kz/products/ups/wi-tek-wi-pms310gf-ups/	WI-PMS310GF-UPS v2	WI-PMS310GF-UPS, Коммутатор управляемый L2 с функцией UPS,подзарядка от солн.панели 8PoE+2хSFP, SNMP	238790.0	191033.15	EOL
https://ipmatika.kz/products/ups/wi-tek-wi-ps306gf-ups/	WI-PS306GF-UPS v3	WI-PS306GF-UPS, Коммутатор неуправляемый с функцией UPS, 5хGE PoE + 1хSFP, DIP переключатель	106130.0	84901.84999999999	
https://ipmatika.kz/products/16-poe-ports/	Неуправляемые коммутаторы 16 PoE портов				
https://ipmatika.kz/products/16-poe-ports/wi-tek-wi-ps518g-v4/	WI-PS518G v4	WI-PS518G, Коммутатор неуправляемый PoE 200Вт, порты 16 PoE FE, 1GE, 1Combo, режим 250м, Watchdog	91920.0	73536.0	
https://ipmatika.kz/products/16-poe-ports/wi-tek-wi-ps518gh/	WI-PS518GH	WI-PS518GH, Коммутатор неуправляемый PoE 150Вт, порты 16 PoE FE + 1GE + 1Combo, режим 250м, Watchdog	66330.0	53065.65000000001	
https://ipmatika.kz/products/24-48-poe-ports/	Неуправляемые коммутаторы 24-48 PoE портов				
https://ipmatika.kz/products/24-48-poe-ports/wi-tek-wi-ps348g/	WI-PS348G	WI-PS348G Коммутатор неуправляемый PoE 600Вт, порты 48 PoE GE	291860.0	233484.07499999998	EOL
https://ipmatika.kz/products/24-48-poe-ports/wi-tek-wi-ps526g-v4/	WI-PS526G v4	WI-PS526G, Коммутатор неуправляемый PoE 270Вт, порты 24 PoE FE, 2 Combo, режим 250м, VLAN, Watchdog	127500.0	102000.0	
https://ipmatika.kz/products/24-48-poe-ports/wi-tek-wi-ps526gh/	WI-PS526GH	WI-PS526GH, Коммутатор неуправляемый PoE 200Вт, порты 24 PoE FE + 1GE + 1Combo, режим 250м, Watchdog	90210.0	72165.775	
https://ipmatika.kz/products/4-poe-ports/	Неуправляемые коммутаторы 4 PoE порта				
https://ipmatika.kz/products/4-poe-ports/wi-tek-wi-ps205-v4/	WI-PS205 v4	WI-PS205, Коммутатор неуправляемый PoE 65Вт, порты 4PoE FE + 2FE, режим 250м и VLAN, Watchdog, v4	19900.0	15918.099999999999	EOL
https://ipmatika.kz/products/4-poe-ports/wi-tek-wi-ps205H-v2/	WI-PS205H v2	WI-PS205H, Коммутатор неуправляемый PoE 40Вт, порты 4 PoE FE + 2FE, режим 250м + VLAN, Watchdog	14400.0	11520.0	
https://ipmatika.kz/products/4-poe-ports/wi-tek-wi-ps305g-v2/	WI-PS305G v2	WI-PS305G, Коммутатор неуправляемый PoE 65Вт, порты 4 PoE GE + 2GE, режим VLAN, Watchdog, HiPoE			
https://ipmatika.kz/products/4-poe-ports/wi-tek-wi-ps305gh/	WI-PS305GH	WI-PS305GH, Коммутатор неуправляемый PoE 45Вт, порты 4 PoE GE + 1GE, режим VLAN, Watchdog	23880.0	19100.125	EOL
https://ipmatika.kz/products/8-poe-ports/	Неуправляемые коммутаторы 8 PoE портов				
https://ipmatika.kz/products/8-poe-ports/wi-tek-wi-ps210-v4/	WI-PS210 v4	WI-PS210, Коммутатор неуправляемый PoE 120Вт, порты 8 PoE FE, 2FE, режим 250м и VLAN, Watchdog, v4	30510.0	24411.474999999995	EOL
https://ipmatika.kz/products/8-poe-ports/wi-tek-wi-ps210g-v4/	WI-PS210G v4	WI-PS210G, Коммутатор неуправляемый PoE 120Вт, порты 8 PoE FE + 2GE, режимы CCTV/VLAN, Watchdog, QoS	35820.0	28654.174999999996	EOL
https://ipmatika.kz/products/8-poe-ports/wi-tek-wi-ps210H/	WI-PS210H	WI-PS210H, Коммутатор неуправляемый PoE 65Вт, порты 8 PoE FE + 2FE, режим 250м + VLAN, Watchdog	21640.0	17312.0	
https://ipmatika.kz/products/8-poe-ports/wi-tek-wi-ps308g-v2/	WI-PS308G v2	WI-PS308G, Коммутатор неуправляемый PoE 120Вт, порты 8 PoE GE + 2GE, Watchdog, HiPoE			
https://ipmatika.kz/products/promyshlennnye-kommutatory-poe-/	Промышленные PoE-коммутаторы				
https://ipmatika.kz/products/promyshlennnye-kommutatory-poe-/wi-tek-sp3006f/	SP3006F	SP3006F промышленный неуправляемый PoE, 4GE+2SFP	66330.0	53065.65000000001	
https://ipmatika.kz/products/promyshlennnye-kommutatory-poe-/wi-tek-sp3006f-bt/	SP3006F-BT	SP3006F-BT, промышленный неуправляемый PoE BT, 4GE+2SFP	92860.0	74287.125	
https://ipmatika.kz/products/promyshlennnye-kommutatory-poe-/wi-tek-sp3006fm-l2-v3/	SP3006FM-L2 v3	SP3006FM-L2 промышленный управлямый L2+ PoE BT, 4GE+2SFP 2,5Gb, RS485	139290.0	111434.67499999999	
https://ipmatika.kz/products/promyshlennnye-kommutatory-poe-/wi-tek-sp3006fm/	SP3006FM	SP3006FM, промышленный настраиваемый PoE, 4GE+2SFP	106130.0	84901.84999999999	
