Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10
										
										
										
										
										
										
										
										
			545	0.0	545					
										
		Наименование товаров	Розница		Розница	Дилер				
		Краткое описание характеристик	KZT		USD	USD				
		01. Радиостанции гражданского диапазона 27МГц(СВ)								
		1.1 Автомобильные и базовые радиостанции диапазона 27МГц								
1755160119.0		Р/ст Baofeng DM-5R Tier I&II, 136-174/400-480МГц, 5Вт, Li-Ion 2000мАч, з/у, гарантия 6 месяцев	47022.6		86.28	71.9				
173009020.0		Р/ст Baofeng DM-1801 Tier I&II, 136-174/400-470МГц, 5Вт, Li-Ion 2200мАч, зарядное устройство, гарнитура, гарантия 6 месяцев	48859.25		89.65	74.71				
173009020.0		Р/ст Baofeng DM-1701 Tier I&II, 136-174/400-470МГц, 5Вт, Li-Ion 2200мАч, зарядное устройство, гарнитура, гарантия 6 месяцев	59377.75		108.95	90.79				
62.0		Р/с ALINCO DJ-500 136-174/400-470МГц, 5Вт, Li-Ion 1500мАч, IPX54, MIL-STD-810G, зарядное устройство 	65104.8825		119.4585	101.745				
2118200319.0		Р/ст AnyTone AT-D868UV DMR/analog, 136-174/400-480МГц 7Вт, Li-Ion 3100мАч, GPS, зарядное устройство, гарантия 1 год	103005		189	151.2				
1430011222.0		Р/ст Quesum MD-100 Tier I&II, 400-470МГц, 5Вт, li-Ion 2600мАч, з/у, гарантия 12 месяцев	67356.55		123.59	102.99				
1431011222.0		Р/ст Quesum MD-10 Tier I&II, 400-470МГц, LED, 5Вт, li-Ion 2600мАч, з/у, гарантия 12 месяцев	70479.4		129.32	107.77				
1453230125.0		Р/ст AnyTone AT-D168UV DMR/analog, 136-174/400-480МГц, 5Вт, Li-Ion 1800мАч+2600мАч, антенна 12 см+38 см, зарядное устройство, гарантия 1 год	93631		171.8	143.17				
1447110722.0		Р/ст AnyTone AT-D878UV DMR/analog, 136-174/400-480МГц 7Вт, Li-Ion 3100мАч, GPS, зарядное устройство, гарантия 1 год	120090.75		220.35	183.62				
63.0		Р/ст AnyTone AT-D868 DMR/analog, 400-480МГц 5Вт, Li-Ion 2000мАч, зарядное устройство  	105730	84584.0	194	155.2				
64.0		2.2 Радиостанции портативные HYT								
65.0		Р/ст HYT TC-320 450-470МГц, 16 Кан., 2Вт, Li-Ion 1700мАч, индивидуальное ускоренное з/у								
66.0		Р/ст HYT TC-508 400-470МГц, 4Вт, Li-Ion 1650мАч, индивидуальное ускоренное з/у								
67.0		Р/ст HYT TC-508 146-174МГц, 5Вт, Li-Ion 1650мАч, индивидуальное ускоренное з/у								
68.0		Р/ст HYT TC-518 136-174МГц, 16 Кан., 5Вт, Li-Ion 1300мАч, индивидуальное ускоренное з/у								
69.0		Р/ст HYT TC-518 400-470МГц, 16 Кан., 4Вт, Li-Ion 1300мАч, индивидуальное ускоренное з/у								
70.0		Р/ст HYT TC-600 400-420МГц, 16 Кан., 4Вт, Li-Ion 1250мАч, индивидуальное ускоренное з/у								
71.0		Р/ст HYT TC-610 136-174МГц, IP66, 16 Кан., 5Вт, Li-Ion 1200мАч, индивидуальное ускоренное з/у								
72.0		Р/ст HYT TC-610 400-420МГц, IP66, 16 Кан., 5Вт, Li-Ion 1200мАч, индивидуальное ускоренное з/у								
73.0		Р/ст HYT TC-610 420-450МГц, IP66, 16 Кан., 5Вт, Li-Ion 1200мАч, индивидуальное ускоренное з/у								
74.0		Р/ст HYT TC-610 440-470МГц, IP66, 16 Кан., 5Вт, Li-Ion 1200мАч, индивидуальное ускоренное з/у								
75.0		Р/ст HYT TC-700 136-174МГц, 16 Кан., 5Вт, Li-Ion 1700мАч, индивидуальное ускоренное з/у								
76.0		Р/ст HYT TC-700 400-470МГц, 16 Кан., 4Вт, Li-Ion 1700мАч, индивидуальное ускоренное з/у								
77.0		Р/ст HYT TC-700EX Plus FM 136-174МГц,16 кан., 4Вт, аккумулятор BL-1703 Li-Lon 1700мАч								
78.0		Р/ст HYT TC-700EX Plus FM 400-470МГц,16 кан., 4Вт, аккумулятор BL-1703 Li-Lon 1700мАч								
79.0		Р/ст HYT TC-700EX Plus ATEX 136-174МГц,16 кан., 1Вт, аккумулятор BL-1703 Li-Lon 1700мАч								
80.0		Р/ст HYT TC-700EX Plus ATEX 420-470МГц,16 кан., 1Вт, аккумулятор BL-1703 Li-Lon 1700мАч								
81.0		2.3. Радиостанции мобильные/стационарные								
82.0		Набор для выноса передней панели AT-588UV (кабель 3м, скоба для панели)	12044.5		22.1	17				
83.0		Р/ст Leixen UV-25HX 134-176/400-480МГц, 199 каналов, 5/10/25 Вт , гарантия 6 месяцев	59464.95		109.11	87.3				
1942110624.0		Р/ст StarNet S-700 64-520/136-520МГц, 999 каналов, GPS, 10/25Вт, гарантия 6 месяцев	57170.5		104.9	87.42				
84.0		Р/ст AnyTone AT-778V 134-176МГц, 250 каналов, 25/10/5 Вт, гарантия 1 год	74665		137	114.67				
85.0		Р/ст AnyTone AT-778U 400-490МГц, 250 каналов, 25/10/5 Вт, гарантия 1 год	74665		137	114.67				
