Наименование товаров	Розница			
Краткое описание характеристик	KZT			
01. Радиостанции гражданского диапазона 27МГц(СВ)				
IA-GU2 Антенна внутренняя для SGU-5055, 890-960/1920-2170МГц, 2/2 dBi, TNC-M	11 036			
IA-GD2 Антенна внутренняя для SGD-5055, 890-960/1710-1880МГц, 2/2 dBi, TNC-M	11 036			
QX-005B Антенна внутренняя 890-960МГц, 3dBi, N-типа	10 006			
QX-005B Антенна внутренняя 1920-2170МГц, 3dBi, N-типа	10 006			
Комнатная 3G/4G антенна РЭМО BAS-2013 MiMo Indoor 6-7/10-12 дБ  690-900 / 1700-3600 МГц	13 369			
Наружная 3G/4G/5G антенна РЭМО BAS-2346 Flat MIMO кабель 2х5м SMA-M	18 367			
Антенна Nitsa-7 /внешняя/ всенаправленная/ LTE800/GSM900/GSM1800/LTE1800/UMTS900/UMTS2100/WIFI/LTE2600/1,5 - 3 Дб / N-female	13 979			
PA-F78ID Антенна панельная 698-960/1710-2700МГц 6.8/9.4 dBi, N-типа	15 097			
AX-2411R Антенна  WiFi  круговая  Antex, 11Дб, N-female	16 699			
PETRA Broad Band 75 антенна 2G/3G/4G/WIFI, направленная, тип-панельная/12.5-15.5 dB, F-female	12 985			
Антенна PETRA Broad Band 75  MIMO 2x2 (3G + 4G MIMO) ,направленная, тип-панельная/14Дб,2*F-female	14 544			
Антенна AGATA-2F MIMO 2x2 (3G MIMO + 4G MIMO 2х2) , направленная, тип-панельная/17Дб/2*F-female	32 464			
UMO-3F MIMO 2*2 - облучатель LTE1800/3G/LTE2600 MIMO 2x2/75 Ом/2*F-female	14 414			
Антенна ZETA-F MIMO 2x2/LTE1800/3G/LTE2600/ направленная, тип-панельная/17-20Дб/2*F-female	45 852			
Nitsa-5F MIMO/ антенна выносная панельная направленная LTE800/GSM900/GSM1800/UMTS2100/DC-HSPA/LTE2600/2*(9-14) dBi/2*F-female	30 905			
Антенна CIFRA-9 /9дБ/ДМВ/DVB-T/DVB-T2/470-750м МГц	17 011			
Антенна CIFRA-4 /4дБ/ ДМВ/DVB-T/DVB-T2/470-870 МГц	6 493			
Антенна VIKA-21F MIMO 2x2/ LTE1800/3G/LTE2600/ направленная, тип-параболическая, прямофокусная/18-21Дб/2*F-female	42 203			
Антенна VIKA-27 F MIMO 2x2/ LTE1800/3G/LTE2600/ направленная, тип-параболическая, прямофокусная/23-27 Дб/ 2*F-female	77 913			
"Антенна VIKA-1.1-800/2700F MIMO2*2/ LTE800/ LTE1800/ 3G/ LTE2600/ направленная/
тип-параболическая, прямофокусная/ 15-26Дб/ 2*F-female"	83 107			
Nitsa-5 - антенна выносная панельная направленная LTE800/GSM900/GSM1800/LTE1800/UMTS2100/LTE2600/8/9-14 dBi/N-female	21 974			
AX-2014P MIMO 2*14 дБ/2*N-female нтенна 3G/4G панельная направленная 	19 909			
Nitsa-5 MIMO 2x2 - антенна LTE800/GSM900/GSM1800/LTE1800/UMTS900/UMTS2100/WiFi/LTE2600	38 493			
SD NM90-4G антенна на магните, 698-2700МГц, 3dBi, SMA-m	18 089			
Magnita-1 антенна на магните 7dBi 698-960/1710-2700МГц, SMA-male	18 181			
QX-001B Антенна внутренняя 806-960МГц/1710-2500МГц, 3dBi, N-типа	15 760			
IA-F3 Антенна внутренняя 698-960/1710-2700МГц 2/3дБ N-типа	15 760			
IA-F46 Антенна внутренняя направленная 698-2700МГц, 4/6dBi, N-типа	16 469			
QX-004B Антенна панельная 890-960МГц/1710-2500МГц, 7dBi/9dBi, N-типа	18 011			
