Код	Артикул	Наименование	Полное наименование	Цена дил.	Цена уцен.	Процент	Причина	Остаток	Заказ
82396y	DHI-LTV43-SD200	"Смарт телевизор Dahua DHI-LTV43-SD200 43"" FHD"	"Смарт телевизор, Dahua, DHI-LTV43-SD200, 43"", FHD (1920*1080), 60 Гц, Android 11, 1GB/8GB, 178/178, динамики 2x8 В, HDMI*2,USB 2.0*2,mini AV In*1,RJ-45*1,Tuner*2,CI*1, VESA 200*200, черный"	109730.0	102049.0	7%	"1)Деформация, загрязнения коробки. Вскрыта коробка. 102 049тг
2)Деформация, загрязнения коробки. Вскрыта коробка. 102 049тг
3)Неравномерность подсветки. Повреждения на коробке, поврежден внутренний упаковочный материал. 93 667тг
4)Повреждения на коробке, поврежден внутренний упаковочный материал.102 049тг
5)Выломана часть пластика на задней крышке. Повреждения на коробке, поврежден внутренний упаковочный материал.93 667тг"	4.0	
82400y	DHI-LTV43-QSD400	"Смарт телевизор Dahua DHI-LTV43-QSD400 43"" QLED"	"Смарт телевизор, Dahua, DHI-LTV43-QSD400, 43"", QLED, 3840*2160, 60 Гц, Android 11, 2GB/8GB, 178/178, динамики 2x8 В, HDMI 2.1*2, HDMI-eARC, mini AV-In*1, USB 2.0*2, RJ-45*1, Tuner*2, CI*1, VESA 300*300, черный"	147099.0	128969.0	12%	1)Повреждена коробка. Вскрыта коробка.  Повреждена внутренняя упаковка из пенопласта. 128 969тг	1.0	
61214y	L55MA-ARU	"Смарт телевизор Xiaomi A 2025 55"" (L55MA-ARU)"	"Смарт телевизор, Xiaomi, A 2025 55"", L55MA-ARU, UHD (3840x2160), 60 Гц, Android, Quad A55, Mali G52 MC1, 2GB/8GB, 178/178, динамики 2x10 В, Bluetooth, Wi-Fi, HDMIx3, USB, AV, LAN, VESA 200*200, металическая рамка, черный"	199990.0	178000.0	11%	Нет защитного пакета, плёнки на экране	1.0	
61183y	L43MA-SRU	"Смарт телевизор Xiaomi A Pro 2025 43"" (L43MA-SRU)"	"Смарт телевизор, Xiaomi, A Pro 2025 43"", L43MA-SRU, QLED, UHD (3840x2160), 60 Гц, Android, Quad A55, Mali G52 MC1, 2GB/8GB, 178/178, динамики 2x8 В, Bluetooth, Wi-Fi, HDMIx3, USB, AV, LAN, VESA 100*200, металлическая рамка, черный"	149990.0	135000.0	10%	Нет защитной плёнки, разрыв упаковочного мешка. Товар исправен 135 000тг	2.0	
61213y	L50MA-ARU	"Смарт телевизор Xiaomi A 2025 50"" (L50MA-ARU)"	"Смарт телевизор, Xiaomi, A 2025 50"", L50MA-ARU, UHD (3840x2160), 60 Гц, Android, Quad A55, Mali G52 MC1, 2GB/8GB, 178/178, динамики 2x10 В, Bluetooth, Wi-Fi, HDMIx3, USB, AV, LAN, VESA 200*200, металическая рамка, черный"	169990.0	158091.0	7%	"нет защитной плёнки на экране. не оригинальный пакет аксессуаров. Товар исправен 158 091тг
разрыв упаковочного мешка, разрыв коробки. Товар исправен 158 091тг"	3.0	
Линейно-интерактивные									
14466y	V-800-L	Источник бесперебойного питания SVC V-800-L	Источник бесперебойного питания, SVC, V-800-L, Мощность 800ВА/480Вт, Диапазон работы AVR: 165-275В, AVR в режиме Booster: 138-292В, Бат.: 12В/9 Ач*1шт., 3 вых.: 2 Shuko CEE7+1 IEC C13 (Bypass), Чёрный	19900.0	14336.0	28%	"после сервисного центра, заменена основной платы 1шт.
Небольшое замятие упаковки 2 шт."	3.0	
42550y	UTC650EI	Источник бесперебойного питания CyberPower UTC650EI	Источник бесперебойного питания, CyberPower, UTC650EI, Мощность 650ВА/360Вт, UTC-серия, Линейно-интерактивный, Напольный, LED, AVR: 165-290В, АКБ 12В/5Ач*1 шт., Вых: 4xIEC C13, Чёрный	16770.0	12000.0	28%	"Повреждение упаковки. Следы клея на корпусе.
"	1.0	
42530y	UT650EG	Источник бесперебойного питания CyberPower UT650EG	Источник бесперебойного питания, CyberPower, UT650EG, Мощность 650ВА/390Вт, UTG-серия, Линейно-интерактивный, Напольный, LED/RJ11/RJ45e/USB, AVR: 165-290В, АКБ 12В/7Ач*1шт., Вых: 3xSchuko, Чёрный	24570.0	16200.0	34%	Повреждена упаковка, заменен АКБ	1.0	
42555y	UTI875E	Источник бесперебойного питания CyberPower UTI875E	Источник бесперебойного питания, CyberPower, UTI875E, Мощность 875ВА/425Вт, UTI-серия, Линейно-интерактивный, Напольный, LED, AVR: 165-290В, АКБ 12В/5,5Ач*1 шт., Вых: 2xSchuko, Чёрный	20820.0	12000.0	42%	Повреждена упаковка, заменены АКБ на новые	5.0	
42574y	VP1200ELCD	Источник бесперебойного питания CyberPower VP1200ELCD	Источник бесперебойного питания, CyberPower, VP1200ELCD, Мощность 1200ВА/720Вт, VP-серия, Линейно-интерактивный, Напольный, LCD/USB/RJ11/RJ45/RS-232, AVR: 167-295В, АКБ 12В/7Ач*2 шт., Вых: 5xSchuko, Чёрный	96350.0	67500.0	30%	Повреждена упаковка.	3.0	
61375y	BE650G2-GR	Источник бесперебойного питания APC Back-UPS BE650G2-GR	Источник бесперебойного питания, APC, Back-UPS BE650G2-GR, Линейно-интерактивный, Мощность 650ВА/400Вт, Напольный, 230В, Вых: 8x Schuko, APCRBC110, Чёрный	71109.0	67195.0	6%	"3 шт - Повреждение упаковки
1 шт-  Повреждена упаковка, следы эксплуатации, после СЦ."	3.0	
63678y	BE850G2-GR	Источник бесперебойного питания APC Back-UPS BE850G2-GR	Источник бесперебойного питания, APC, Back-UPS BE850G2-GR, Линейно-интерактивный, Мощность 850ВА/520Вт, Напольный, 230В, Вых: 8x Schuko, USB Type A+C, RBC17, Чёрный	109482.0	102577.0	6%	Новый повреждена упаковка, после АСЦ	1.0	
62598y	5E900UD	Источник бесперебойного питания Eaton 5E900UD	Источник бесперебойного питания, Eaton, 5E900UD, Мощность 900ВА/480Вт, Диапазон работы AVR: 140-300В, Бат.: 12В/9 Ач*1шт., Аппроксимированная синусоида, 2 вых.: 2 розетки Schuko, 1 USB порт, Цвет Чёрный	58190.0	45390.0	22%	Повреждена упаковка, после ремонта.	1.0	
83786y	GS-1100	Источник бесперебойного питания SVC GS-1100	Источник бесперебойного питания, SVC, GS-1100, Мощность 1100ВА/600Вт, Диапазон работы AVR: 145-275В, Аккумулятором емкостью 276 Втч LiFePO4, Интерфейс USB, совместим с системой NAS	50000.0	48000.0	4%	Образцы ИБП 	1.0	
Напольные									
14650y	PTL-3K-LCD	Источник бесперебойного питания SVC PTL-3K-LCD	Источник бесперебойного питания, SVC, PTL-3K-LCD, Мощность 3000ВА/2100Вт, PTL-серия, LCD\Tel.line\USB(Smart), Диапазон работы AVR: 145-275В, Бат.: 12В/9Ah*4шт., Вентилятор: 8см*1шт., 3 вых., Чёрный	129232.0	93582.0	28%	Повреждена упаковка, следы экплуатации, после сц, потеря емкости акб, не родные болты.	1.0	
77432y	PTS-2KLN-LCD	Источник бесперебойного питания SVC PTS-2KLN-LCD	Источник бесперебойного питания, SVC, PTS-2KLN-LCD, Мощность 2000ВА/2000Вт, PTS-серия, On-Line, LCD\Интелектуальный слот\RS-232, USB порт, Диапазон работы AVR: 110-300В, Бат.: 12В/9Ah*6шт., Вентилятор: 8см*1шт., 2вых. Schuko CEE7, Чёрный, замена модели PTS-2KL-LCD	170000.0	140622.0	17%	 Повреждение и замятие упаковки.	4.0	
"Стоечные 19"""									
36288y	RTL-800-LCD	Источник бесперебойного питания SVC RTL-800-LCD	Источник бесперебойного питания, SVC, RTL-800-LCD, Мощность 800ВА/500Вт, RTL-серия, Стоечный 1U, LCD-дисплей, USB (технология Smart), Диапазон работы AVR:160-260В, Бат.:12.8В/5Ah*3шт., Вых: 2 IEC + клеммная колодка, Чёрный	68484.0	51297.0	25%	 Вскрыта упаковка,  повреждение и замятие упаковки.	2.0	
8590y	RT-10KL-LCD	Источник бесперебойного питания SVC RT-10KL-LCD	Источник бесперебойного питания, SVC, RT-10KL-LCD, Мощность 10кВА/10кВт, Стоечный 19'' 4U, RT-серия, On-Line, LED-LCD/RS-232, SMART, Диапазон работы AVR: 110-288В, Бат.: 12В/9Ач*16шт., Вентилятор: 8см*2шт., Клеммное подключение, Чёрный	580628.0	484778.0	17%	Повреждена упаковка 	1.0	
Батарейные блоки									
21169y	BP-PTS-10KL-LCD	Батарейный блок для ИБП PTS-10KL-LCD	Батарейный блок, SVC, для ИБП PTS-10KL-LCD, Напольный, 12В/9Ah*16шт., Подключения через кабель с коннектором Anderson (в комплекте), Чёрный	408693.0	131773.0	68%	Отсутствует упаковка и лицевая панель, сильные вмятины на верхней крышке корпуса. Аппарат  работает нормально, гарантия 6 месяцев. 	1.0	
Однофазные									
36812y	R-1500	Стабилизатор SVC R-1500	Стабилизатор (AVR), SVC, R-1500, 1500ВА/1500Вт, Диапазон работы AVR: 140-260В, Выходное напряжение: 220В +/-7%, Задержка включения, выход 2 шт Shсuko, LCD-дисплей, Защита: от перегрузки, короткого замыкания, повышенной температуры, Чёрно-красный	22990.0	13350.0	42%	"Повреждение коробки/ попадание влаги
Устройство целое"	17.0	
4576y	R-3000	Стабилизатор SVC R-3000	Стабилизатор (AVR), SVC, R-3000, 3000ВА/3000Вт, Диапазон работы AVR: 140-260В, Выходное напряжение: 220В +/-7%, Задержка включения, Клеммная колодка, LCD-дисплей, Защита: от перегрузки, короткого замыкания, повышенной температуры, Чёрно-красный	38990.0	23225.0	40%	" 11 шт- Отсутствует упаковка, инструкция.
57шт- повреждения упаковки, следы влаги. Сами устройства целые"	64.0	
Из 12В,24В,48В в 220В									
39131y	SI-1000	Инвертор SVC SI-1000	Инвертор, SVC, SI-1000, Мощность 1000ВА/1000Вт, Вход 12В/Выход 210-240В, 1 вых.: Shuko CEE7, USB-порт 2А, Защита от перегрева, перегрузки, короткого замыкания, Чёрный	27771.0	22225.0	20%	Мятая упаковка 	2.0	
69721y	AC GB/T - 7кВт	Автомобильное зарядное устройство SVC AC GB/T - 7кВт	Автомобильная зарядное устройство, SVC, AC GB/T - 7кВт , Мощность: 7000Вт, Выходное напряжение: 400В, Максимальный ток: 32А, Тип разъема для зарядки: GB/T кабель, Длина кабеля: 3 м, LED- индикаторы, Защита от перегрева, перегрузки, короткого замыкания, Габариты Ш*В*Г: 75*200*190,50 (мм)	46670.0	39203.0	16%	Повреждена упаковка, следы эксплуатации.	1.0	
69720y	AC GB/T - 11кВт 	Автомобильная зарядная станция SVC AC GB/T - 11кВт	"Автомобильная зарядная станция, SVC, AC GB/T - 11кВт , Мощность: 11кВт, Выходное напряжение: 400В, Максимальный ток: 16А, Тип разъема для зарядки: GB/T , Длина кабеля: 5 м, LED- индикаторы, Дисплей 4.3"" для контроля параметров в реальном времени, Защита от перегрева, перегрузки, короткого замыкания, Габариты Ш*В*Г: 270*400*190,51(мм), Настенное крепление/крепление на столбе"	172160.0	157813.0	8%	Повреждена упаковка, новый 	1.0	
