Код	Артикул	Наименование	Полное наименование	Цена роз.	Цена сайт
Ноутбуки					
4321	S6025BK1500-P	Патч Корд SHIP Cat.6 UTP LSZH RJ-45 15 м S6025BK1500-P	Патч Корд, SHIP, S6025BK1500-P, Cat.6, UTP, LSZH, RJ-45,15 м, Чёрный, Пол. пакет	7876.0	7482.2
4329	S6025BL1500-P	Патч Корд SHIP Cat.6 UTP LSZH RJ-45 15 м S6025BL1500-P	Патч Корд, SHIP, S6025BL1500-P, Cat.6, UTP, LSZH, RJ-45, 15 м, Синий, Пол. пакет	7718.0	7332.099999999999
1943	S3025BK2000-P	Патч Корд SHIP Cat.5e UTP LSZH RJ-45 20 м S3025BK2000-P	Патч Корд, SHIP, S3025BK2000-P, Cat.5e, UTP, LSZH, RJ-45, 20 м, Чёрный, Пол. пакет	9195.0	8735.25
4322	S6025BK2000-P	Патч Корд SHIP Cat.6 UTP LSZH RJ-45 20 м S6025BK2000-P	Патч Корд, SHIP, S6025BK2000-P, Cat.6, UTP, LSZH, RJ-45, 20 м, Чёрный, Пол. пакет	10073.0	9569.35
4330	S6025BL2000-P	Патч Корд SHIP Cat.6 UTP LSZH RJ-45 20 м S6025BL2000-P	Патч Корд, SHIP, S6025BL2000-P, Cat.6, UTP, LSZH, RJ-45, 20 м, Синий, Пол. пакет	10059.0	9556.05
Коннекторы					0.0
1412	UTP RJ-9	Коннектор RJ-9 телекоммуникационный	Коннектор, RJ-9, UTP RJ-9, 4 pin, Телекоммуникационный, 1000шт/уп, Пакет	17.0	16.15
564	UTP RJ-11	Коннектор RJ-11 телекоммуникационный	Коннектор, RJ-11, UTP RJ-11, 4 pin, 6P4C, Телекоммуникационный, 1000шт/уп, Пакет	16.0	15.2
168	UTP RJ-45	Коннектор RJ-45 телекоммуникационный	Коннектор, RJ-45, UTP RJ-45, Cat.5e, Телекоммуникационный, 1000 шт/уп, Пакет	16.0	15.2
7276	S901A	Коннектор телекоммуникационный RJ 45 SHIP S901A	Коннектор телекоммуникационный, SHIP, S901A, RJ 45, Cat.5e, UTP, (100 штук в пакете)	30.0	28.5
8796	S901B	Коннектор телекоммуникационный RJ 45 SHIP S901B	Коннектор телекоммуникационный, SHIP, S901B, RJ 45, Cat.5e, FTP, (100 штук в пакете)	75.0	71.25
13709	S901C	Коннектор телекоммуникационный RJ 11 SHIP S901C	Коннектор телекоммуникационный, SHIP, S901C, RJ 11, (100 штук в пакете)	27.0	25.65
2074	S901D	Коннектор телекоммуникационный RJ 45 SHIP S901D	Коннектор телекоммуникационный, SHIP, S901D, RJ 45, Cat.6, UTP, (100 штук в пакете)	83.0	78.85
2075	S901E	Коннектор телекоммуникационный RJ 45 SHIP S901E	Коннектор телекоммуникационный, SHIP, S901E, RJ 45, Cat.6, FTP, Экранированный, (100 штук в пакете)	122.0	115.89999999999999
13461	S901G	Коннектор телекоммуникационный RJ 45 SHIP S901G	Коннектор телекоммуникационный, SHIP, S901G, RJ 45, Cat.6A, S-FTP, (100 штук в пакете)	350.0	332.5
58099	DH-PFM976-530-PT	Коннектор телекоммуникационный сквозной RJ 45 Dahua DH-PFM976-530-PT	Коннектор телекоммуникационный сквозной, Dahua, DH-PFM976-530-PT, RJ 45, Cat.5e, UTP, (100 штук в упаковке)	2995.0	2845.25
69811	DH-PFM976-531	Коннектор телекоммуникационный RJ 45 Dahua DH-PFM976-531	Коннектор телекоммуникационный RJ 45, Dahua, DH-PFM976-531, RJ 45, Cat.5e, UTP, (100 штук в упаковке)	3200.0	3040.0
70175	033753	Коннектор телекоммуникационный высокой плотности RJ 45 Legrand 033753 cat 5e.	Коннектор телекоммуникационный высокой плотности RJ 45, Legrand, 033753, cat 5e.(6 шт в уп.).	15843.0	15050.849999999999
83766	033763	Коннектор телекоммуникационный высокой плотности RJ 45 Legrand 033763 cat 6.	Коннектор телекоммуникационный высокой плотности RJ 45, Legrand, 033763, cat 6, (6 шт в уп.).	21000.0	19950.0
Колпачки (буты)					0.0
